R_date,Latitude,Longitude,24/04/1995 12:00,24/04/2000 12:00,25/04/2005 12:00,26/04/2010 12:00,27/04/2015 12:00
JE054_B,23.68,89.09,5.04,4.84,4.94,5.04,
JE055_B,23.08,88.93,-0.51,-0.11,0.09,-0.51,
JE056_B,23.01,89.62,1.45,1.35,0.51,0.8,1.52
JE057_A,22.88,89.3,-2.93,-3.01,-2.45,-2.99,-1.49
JE058_B,23.68,89.25,1.94,2.36,2.15,0.25,
JE059_B,23.22,89.49,0.08,0.51,-1.19,-0.23,
JES08_A,23.5,89.54,-0.37,0.48,0.13,,
JES11_A,23.4,89.6,0.94,1.37,0.87,,
JES12_A,23.06,89.41,0.43,0.49,1.07,,
JES13_A,23.33,89.16,2.29,2.54,3.04,,
JES14_A,23,89.48,-1.73,-1.86,-0.83,,
JES16_A,22.83,89.21,-0.79,-1.69,-0.19,,
JES17_A,23.24,89.45,-0.68,-1.38,-0.78,,
JES18_B,23.28,88.87,3.17,3.44,3.51,,
JES19_A,23.4,88.98,4.59,,,,
KH003_B,22.77,89.7,-0.2,0.46,0.1,-0.5,1.36
KH004_B,22.98,89.46,0.45,0.62,0.58,,0.46
KH005_B,22.89,89.39,0.11,0.13,-0.16,-1.06,-0.32
KH008_B,22.75,89.25,-0.4,-0.19,0.31,,-0.44
KH010_C,22.84,89.09,-1.84,-2.47,-0.31,-2.88,0.43
KH012_A,22.65,89.72,0.07,0.91,,0.45,0.81
KH013_B,22.79,89.58,1.7,1.8,1.69,,
KH016_A,22.35,89.12,0.26,0.24,0.49,-0.54,
KH019_B,22.87,89.04,-3.2,-3.69,-1.99,,
KH021_A,22.56,89.2,0.42,0.42,0.45,-0.62,-0.04
KT001_B,23.85,89.07,4.2,4.29,4.16,,
KT002_B,24.01,89.01,7.44,7.49,7.29,6.36,
KT003_C,23.91,89.23,4.48,5.44,4.97,,
KT004_B,23.81,89.3,4.13,2.23,1.81,2.24,
KT005_B,23.74,88.93,9.19,9.51,8.67,8.31,
KT006_B,23.65,88.89,10.67,9.75,10,9.37,9.6
KT007_B,23.82,88.68,8.82,9.35,9.04,,
KT008_A,24.12,88.97,6.83,6.96,,6.2,6.19
KT009_B,24.12,88.97,6.4,6.8,6.46,5.89,6.62
KT010_B,24.11,88.95,6.47,6.86,6.47,6.43,6.32
KT012_B,23.63,88.63,8.41,9.27,8.85,8.42,
KT014_B,23.97,88.94,9.12,9.72,,8.02,
KT015_B,24,88.9,9.68,10.38,9.63,,
KT016_B,23.95,88.86,9.94,10.38,9.85,9.19,
KT017_B,24.12,88.94,5.93,6.88,6.38,,6.33
KT018_B,24.1,88.87,0.45,2.35,0.85,-0.4,1.02
KT019_A,24.02,88.78,10.88,12.56,10.73,10.56,
KT021_B,23.96,88.99,6.73,6.28,6.78,,7.3
KT026_B,23.87,88.77,10.36,10.56,10.56,9.36,9.66
KT027_B,23.65,88.78,6.51,7.7,7.04,6.29,6
KT029_B,23.59,88.85,6.05,6.6,6.78,5.04,6.1
KT032_C,23.91,88.94,5.44,5.86,6.01,,6.16
KT033_B,24.04,88.87,10.08,10.89,9.74,8.96,
KT034_B,23.94,89.28,6,5.89,5.67,5.69,
KT035_B,23.83,89.1,5.45,6.1,4.2,4.42,
KT037_A,23.65,88.59,8.27,9.47,8.42,7.82,7.27
KT038_A,23.87,88.96,5.62,7.14,6.09,,
KT039_A,24.12,88.95,7.73,8.02,7.83,7.46,7.09
KT040_A,24.11,88.95,7.77,8.15,7.82,7.45,7.52
KT041_B,24.12,88.94,8.46,8.79,8.53,8.05,8.85
KT042_B,23.88,89.29,3.22,4.12,2.27,,
KT044_A,23.98,88.83,10.99,11.58,10.92,10.02,11.67
KT045_C,23.61,88.71,4.94,6.72,6.04,,5.99
KT047_C,23.44,88.85,5.47,6.07,6,5.33,5.04
KT049_B,24.01,88.98,7.41,8.07,7.05,,
KT051_B,23.82,89.34,3.72,2.31,2.54,2.38,
KTS004_B,23.81,88.99,7.75,8.01,8.76,,
KTS007_A,23.84,89.2,3.05,4.5,3.54,,
KTS011_A,23.92,89.19,1.05,,3.3,,
MY001_B,24.9,90.43,10.03,11.62,10.3,9.66,
